electricity_facility [W],gas_facility [W]
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
10044.80018,5563.704975
9119.07813,2804.371918
8987.464868,2248.869864
7757.392411,1831.359629
7955.372449,1900.304917
7726.750317,1657.961902
7555.545484,1395.451993
7281.624024,1235.913032
8618.74177,1165.415633
8300.98765,736.8562266
8034.88581,489.9075346
7800.37829,410.2003669
7589.40912,342.6961059
7389.415667,255.5890691
7302.892227,0
7097.295655,0
6942.512171,0
6835.418709,0
6704.304917,0
6587.441757,0
6529.633182,0
6506.461694,0
6490.520617,0
6483.364044,0
6308.563274,0
6306.753705,0
6287.235642,0
6294.762072,0
6473.039956,0
6475.007912,0
6477.942422,0
6482.141694,0
6484.713072,0
6487.758439,0
6490.785307,0
6494.145466,0
6499.650371,0
6505.860284,0
6514.072015,0
6528.20543,0
6499.404995,0
6475.239966,0
6449.522728,0
6445.487234,0
4405.84873,0
4554.462744,0
4758.635221,0
4989.81619,0
4669.193432,0
4930.234721,0
5109.368328,0
5265.630245,0
5375.306999,0
5469.45143,0
5551.184568,0
5622.616326,0
5395.015591,0
5546.523701,0
5529.193416,229.5319129
5583.918097,295.5746979
5632.677344,350.1640622
5677.744942,408.4045311
5720.147242,467.5004396
5761.399492,525.232802
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
11977.60081,8332.890349
10760.17455,4853.784002
10027.61113,4178.028345
8967.957201,3892.099356
9085.232888,3810.955226
8814.378767,3386.978758
8617.485439,3265.716611
8351.218055,3156.186477
9637.963198,2901.571532
9293.507775,2461.445865
9067.277966,2337.281285
8891.983319,2232.296224
8745.105917,2141.306577
8615.827472,2038.74999
8436.791011,1941.942026
8229.867077,1852.43609
8013.498984,1746.785569
7793.008394,1638.870334
7610.22553,1529.847913
7442.255557,1422.402717
7293.71039,1312.268502
7162.776529,1204.390389
7056.618387,1096.323316
6966.129631,985.7581892
6977.439078,874.9008054
6904.316965,758.2303501
6813.399867,672.0951257
6726.810326,591.3259776
6600.197136,465.6921644
6540.94186,318.5170927
6525.594649,0
6494.019818,0
6489.319488,0
6485.103072,0
6481.372235,0
6478.028234,0
6474.93539,0
6472.156269,0
6470.023135,0
6468.539224,0
6468.622161,0
6469.49313,0
6471.832881,0
6475.052659,0
4511.980953,0
4778.49855,0
5052.865831,0
5276.988524,0
5026.983086,0
5234.522337,0
5395.959013,0
5524.814492,0
5630.800249,0
5715.058926,0
5783.859079,0
5843.107955,0
5600.419637,0
5708.521408,0
5789.693453,0
5844.34636,0
5893.158721,0
5812.039268,200.3187382
5840.02433,221.6427578
5866.814304,240.5366967
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
10265.06692,5080.531255
9294.339327,2259.741885
9107.325318,1691.735187
7918.763852,1002.399112
