metric,key,variable_name,reporting_frequency,reporting_schedule,explanation
Weather,*,Site Outdoor Air Drybulb Temperature,Timestep,,
,*,Site Outdoor Air Relative Humidity,Timestep,,
,*,Site Horizontal Infrared Radiation Rate per Area,Timestep,,
,*,Site Diffuse Solar Radiation Rate per Area,Timestep,,
,*,Site Direct Solar Radiation Rate per Area,Timestep,,
,*,Site Ground Reflected Solar Radiation Rate per Area,Timestep,,
,*,Site Solar Azimuth Angle,Timestep,,
,*,Site Solar Altitude Angle,Timestep,,
,*,Site Solar Hour Angle,Timestep,,
Light,*,Lights Electricity Rate,Timestep,,
,*,Daylighting Lighting Power Multiplier,Timestep,,
Plugload,*,Electric Equipment Electricity Rate,Timestep,,
Window,*,Surface Window Total Glazing Layers Absorbed Solar Radiation Rate,Timestep,,
,*,Surface Window Total Glazing Layers Absorbed Shortwave Radiation Rate,Timestep,,
,*,Surface Window Front Face Temperature Layer 1,Timestep,,
,*,Surface Window Back Face Temperature Layer 3,Timestep,,
,*,Surface Window Transmitted Solar Radiation Rate,Timestep,,
,*,Surface Window Transmitted Beam Solar Radiation Rate,Timestep,,
,*,Surface Window Transmitted Beam To Beam Solar Radiation Rate,Timestep,,
,*,Surface Window Transmitted Beam To Diffuse Solar Radiation Rate,Timestep,,
,*,Surface Window Transmitted Diffuse Solar Radiation Rate,Timestep,,
,*,Surface Window Heat Gain Rate,Timestep,,
,*,Surface Window Heat Loss Rate,Timestep,,
,*,Surface Window Gap Convective Heat Transfer Rate,Timestep,,
,*,Surface Window Net Heat Transfer Rate,Timestep,,
,*,Surface Window System Solar Transmittance,Timestep,,
,*,Surface Window System Solar Reflectance,Timestep,,
,*,Surface Window System Solar Absorptance,Timestep,,
,*,Surface Window Inside Face Glazing Condensation Status,Timestep,,
,*,Surface Window Inside Face Frame Condensation Status,Timestep,,
,*,Surface Window Inside Face Divider Condensation Status,Timestep,,
,*,Surface Window Outside Reveal Reflected Beam Solar Radiation Rate,Timestep,,
,*,Surface Window Solar Horizontal Profile Angle,Timestep,,
,*,Surface Window Solar Vertical Profile Angle,Timestep,,
,*,Surface Window Glazing Beam to Beam Solar Transmittance,Timestep,,
,*,Surface Window Glazing Beam to Diffuse Solar Transmittance,Timestep,,
,*,Surface Window Glazing Diffuse to Diffuse Solar Transmittance,Timestep,,
,*,Surface Window Model Solver Iteration Count,Timestep,,
Submeter,*,Fan Electricity Rate,Timestep,,
,*,Chiller Electricity Rate,Timestep,,
,*,Cooling Tower Fan Electricity Rate,Timestep,,
,*,Boiler NaturalGas Rate,Timestep,,
,*,Boiler Ancillary Electricity Rate,Timestep,,
,*,Pump Electricity Rate,Timestep,,
,*,Water Heater NaturalGas Rate,Timestep,,
